,titulo,ubicacion,precio,area_m2,habitaciones,banos,parqueaderos,url
8722,"Apartamento en Arriendo, Santa Monica, Medellín",santa monicae | medellín,2.600.000,110.0,3,2,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lorena-3-habitaciones-2-banos/17143-M5851902
8723,"Local Comercial en Arriendo, GUAYABAL, Medellín",guayabale | medellín,9.000.000,75.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-tenche/687-M6046869
8724,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,5.100.000,90.0,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-2-habitaciones-3-banos-1-garajes/687-M4918511
8725,"Consultorio en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,7.600.000,50.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-consultorio-medellin-la-aguacatala-1-banos/687-M5495930
8726,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,5.900.000,116.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-castillo-3-habitaciones-3-banos-2-garajes/687-M4936651
8727,"Local Comercial en Arriendo, LAURELES, Medellín",laurelese | medellín,4.300.000,44.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-laureles/687-M4202438
8728,"Oficina en Arriendo, EL POBLADO, Medellín",el poblado | medellín,8.000.000,55.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-alejandria-1-banos/687-M5994354
8729,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,8.650.000,72.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-no.2-2-habitaciones-2-banos-1-garajes/687-M4563945
8730,"Oficina en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,27.000.000,240.0,0,4,3,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-santa-maria-de-los-angeles-4-banos-3-garajes/687-M5418173
8731,"Local Comercial en Arriendo, El Poblado, Medellín",el poblado | medellín,4.900.000,5.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-el-poblado/20769-M5990422
8732,"Local Comercial en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,12.500.000,142.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-las-lomas-no.1/687-M5342883
8733,"Oficina en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,2.500.000,21.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-los-balsos-no.1-1-banos/687-M4191173
8734,"Oficina en Arriendo, EL POBLADO, Medellín",el poblado | medellín,5.300.000,50.0,0,1,2,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-cristo-rey-1-banos-2-garajes/687-M5812339
8735,"Oficina en Arriendo, GUAYABAL, Medellín",guayabale | medellín,6.200.000,130.0,0,2,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-tenche-2-banos/687-M6050586
8736,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado | medellín,3.300.000,79.0,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-abadia-1-habitaciones-2-banos-1-garajes/687-M5648030
8737,"Bodega en Arriendo, La America, Medellín",la americae | medellín,20.000.000,320.0,0,2,0,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-la-america-2-banos/12653-M4701126
8738,"Oficina en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,3.350.000,48.0,0,1,2,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-la-florida-1-banos-2-garajes/687-M4891596
8739,"Casa en Arriendo, BELEN, Medellín",belene | medellín,4.850.000,160.0,4,3,1,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-la-gloria-4-habitaciones-3-banos-1-garajes/12116-M6026619
