titulo,ubicacion,precio,area_m2,habitaciones,banos,parqueaderos,url
"Apartamento en Arriendo, Florida Nueva, Medellín",Florida Nueva,2.200.000,90.0,3,3,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-naranjal-3-habitaciones-3-banos/13934-M6038782
"Casa en Arriendo, ROBLEDO LA CAMPIÑA, Medellín",Robledo La Campiña,1.200.000,100.0,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-cucaracho-2-habitaciones-1-banos-1-garajes/18296-M6054319
"Local Comercial en Arriendo, Villa Nueva, Medellín",Villa Nueva,10.000.000,144.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-villa-nueva/19474-M5674368
"Apartamento en Arriendo, Los Colores, Medellín",Los Colores,2.850.000,60.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-german-3-habitaciones-2-banos-1-garajes/17136-M6065913
"Apartamento en Arriendo, CALASANZ PARTE ALTA, Medellín",Calasanz Parte Altae | Medellín,2.250.000,57.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-alcazares-3-habitaciones-2-banos-1-garajes/16115-M6034913
"Bodega en Arriendo, Belen, Medellín",Belén,13.500.000,500.0,0,4,3,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-belen-4-banos-3-garajes/17698-M6050281
"Local Comercial en Arriendo, Laureles, Medellín",Laureles | Medellín,7.900.000,120.0,0,3,1,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-laureles-3-banos-1-garajes/19795-M5744592
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,4.700.000,116.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-3-banos-2-garajes/687-M5511812
"Apartamento en Arriendo, Laureles, Medellín",Laureles,5.000.000,110.0,3,3,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lorena-3-habitaciones-3-banos/20662-M6060255
"Apartamento en Arriendo, Poblado, Medellín",El Poblado,12.000.000,130.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-3-habitaciones-3-banos-2-garajes/20543-M6070728
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,9.300.000,165.0,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M5512141
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,8.800.000,210.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M4698307
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,18.200.000,400.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-4-banos-2-garajes/687-M4774605
"Casa en Arriendo, Florida Nueva, Medellín",Florida Nueva,6.600.000,196.0,5,5,0,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-florida-nueva-5-habitaciones-5-banos/19795-M5691377
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,18.200.000,400.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-4-banos-2-garajes/687-M4774634
"Casa en Arriendo, EL POBLADO, Medellín",El Poblado,18.000.000,432.0,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M5462930
"Apartamento en Arriendo, Loma Del Encierro, Medellín",Loma Del Encierro | Medellín,4.000.000,98.0,2,2,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-del-encierro-2-habitaciones-2-banos/20384-M5966450
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,4.050.000,86.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-2-banos-1-garajes/687-M5514251
"Apartamento en Arriendo, Poblado, Medellín",El Poblado,13.500.000,130.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-3-habitaciones-4-banos-2-garajes/20543-M6065528
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,5.200.000,88.0,1,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-1-habitaciones-3-banos-2-garajes/687-M5732961
"Casa en Arriendo, EL POBLADO, Medellín",El Poblado,60.000.000,200.0,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.2-4-habitaciones-5-banos-4-garajes/687-M3828456
