titulo,ubicacion,precio,caracteristicas,area_m2,habitaciones,banos,parqueaderos,url,codigo,pagina,numero_en_pagina
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$7.700.000,"143 m²
3 hab.
2 bañ.
2 par.",143,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-2-banos-2-garajes/687-M6061414,687-M6061414,39,18
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$4.350.000,"93 m²
3 hab.
2 bañ.
1 par.",93,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.2-3-habitaciones-2-banos-1-garajes/687-M5504702,687-M5504702,39,19
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$13.000.000,"205 m²
3 hab.
4 bañ.
2 par.",205,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M4896176,687-M4896176,39,20
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$12.000.000,"182 m²
3 hab.
4 bañ.
2 par.",182,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M5440965,687-M5440965,39,21
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$14.800.000,"274 m²
3 hab.
4 bañ.
2 par.",274,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-3-habitaciones-4-banos-2-garajes/687-M2898721,687-M2898721,39,22
"Apartamento en Arriendo, BELEN, Medellín",BELEN | Suroccidente | Medellín,$4.200.000,"85 m²
3 hab.
2 bañ.
2 par.",85,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-mota-3-habitaciones-2-banos-2-garajes/12116-M5218057,12116-M5218057,39,23
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$2.700.000,"85 m²
3 hab.
3 bañ.",85,3,3,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-diego-3-habitaciones-3-banos/687-M4823216,687-M4823216,39,24
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$6.500.000,"86 m²
1 hab.
2 bañ.
1 par.",86,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-1-habitaciones-2-banos-1-garajes/687-M5058555,687-M5058555,39,25
"Casa en Venta y Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$1.200.000.000,"280 m²
4 hab.
5 bañ.
4 par.",280,4,5,4,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-las-lomas-no.-1-4-habitaciones-5-banos-4-garajes/687-M1938542,687-M1938542,39,26
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Otros | Medellín,$6.450.000,"144 m²
3 hab.
4 bañ.
2 par.",144,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-4-banos-2-garajes/687-M5945777,687-M5945777,39,27
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$8.300.000,"225 m²
3 hab.
4 bañ.
2 par.",225,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-patio-bonito-3-habitaciones-4-banos-2-garajes/687-M5377784,687-M5377784,39,28
"Apartamento en Venta y Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$690.000.000,"226 m²
4 hab.
4 bañ.
2 par.",226,4,4,2,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-naranjos-4-habitaciones-4-banos-2-garajes/687-M2126712,687-M2126712,39,29
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$25.500.000,"452 m²
4 hab.
5 bañ.
3 par.",452,4,5,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-4-habitaciones-5-banos-3-garajes/687-1434036,687-1434036,39,30
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$11.200.000,"255 m²
3 hab.
4 bañ.
2 par.",255,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-2-garajes/687-M3602504,687-M3602504,39,31
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$3.800.000,"63 m²
1 hab.
2 bañ.
1 par.",63,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-1-habitaciones-2-banos-1-garajes/687-M5062035,687-M5062035,39,32
"Apartamento en Arriendo, Poblado, Medellín",Poblado | Medellín,$9.000.000,"111 m²
2 hab.
3 bañ.
2 par.",111,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-2-habitaciones-3-banos-2-garajes/20765-M6051330,20765-M6051330,39,33
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$15.100.000,"145 m²
3 hab.
4 bañ.
2 par.",145,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-3-habitaciones-4-banos-2-garajes/687-M4697926,687-M4697926,39,34
"Casa en Arriendo, Las Palmas, Medellín",Las Palmas | Medellín,$18.000.000,"360 m²
4 hab.
4 bañ.
4 par.",360,4,4,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-na-4-habitaciones-4-banos-4-garajes/20033-M5768185,20033-M5768185,39,35
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Otros | Medellín,$7.400.000,"214 m²
3 hab.
4 bañ.
3 par.",214,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-3-habitaciones-4-banos-3-garajes/687-M5826158,687-M5826158,39,36
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$6.300.000,"145 m²
3 hab.
3 bañ.
2 par.",145,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-3-habitaciones-3-banos-2-garajes/687-M4714998,687-M4714998,39,37
"Apartamento en Venta y Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$1.100.000.000,"210 m²
3 hab.
3 bañ.
3 par.",210,3,3,3,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-san-lucas-3-habitaciones-3-banos-3-garajes/687-M2094647,687-M2094647,39,38
